ScopeItem,ActivityTitle,HasMetadata,QuestionText,QuestionQuality,ThinkAboutQuality,ModulesCorrect,ConfigReadable,MasterDataComplete,EffortAppropriate,DomainSpecific,JargonFree,Answerable
"J60","Test Procedures",true,"Does your team need to validate the accounts payable process through testing?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Preparation of Payments: Maintain Business Partner",true,"How do you manage your supplier records?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Preparation of Payments: Display Supplier List",true,"Do you need a centralized view of all your suppliers?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Preparation of Payments: Netting of AR/AP Items (Optional)",true,"Does your company offset receivables against payables for the same business partner?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Preparation of Payments: Available Amounts for Payment Program (Optional)",true,"Do you need to check available cash before processing payments?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Entry without Purchase Order: Invoice Entry Without Purchase Order",true,"Do you receive invoices that don't reference a purchase order?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Entry without Purchase Order: Invoice Entry for One-Time Supplier without Purchase Order",true,"Do you receive invoices that don't reference a purchase order?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Park and Post Invoice: Park Invoice",true,"Do invoices go through a parking/approval step before posting?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Park and Post Invoice: Post Invoice",true,"Do invoices go through a parking/approval step before posting?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Recurring Supplier Invoices: Create Recurring Supplier Invoice",true,"Do you have recurring supplier invoices (e.g., rent, subscriptions, maintenance contracts)?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Recurring Supplier Invoices: Review Recurring Supplier Invoice",true,"Do you have recurring supplier invoices (e.g., rent, subscriptions, maintenance contracts)?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Recurring Supplier Invoices: Schedule Recurring Supplier Invoice Posting",true,"Do you have recurring supplier invoices (e.g., rent, subscriptions, maintenance contracts)?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Mass Upload: Mass Import for Supplier Invoices",true,"Do you need to upload large batches of supplier invoices from external systems?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Payment Preparation: View Supplier Line Items",true,"How does your AP team review open supplier invoices?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Payment Preparation: Manage Payment Blocks",true,"Do you sometimes block invoices from being paid?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Payment Preparation: View Supplier Balance",true,"Do you need to see the total balance owed to each supplier?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Payment Run",true,"How do you batch-process payments to suppliers?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Mass Reverse Payment Run (Optional)",true,"How do you batch-process payments to suppliers?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","View Payment List",true,"Do you need to track and report on completed payment runs?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Payment Plans",true,"Do you use payment plans for large supplier invoices?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Single Outgoing Payment",true,"Do you make individual ad-hoc payments outside of the regular payment run?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Create Single Outgoing Payment (Indirect)",true,"Do you make individual ad-hoc payments outside of the regular payment run?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Create Single Payment (Direct)",true,"Do you make individual ad-hoc payments outside of the regular payment run?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Online Payments: Free Form Payment Request",true,"Do you process online payments that aren't linked to a specific invoice?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Online Payments: Review or Edit Free Form Payment Request",true,"Do you process online payments that aren't linked to a specific invoice?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Online Payments: Process Free Form Payment",true,"Do you process online payments that aren't linked to a specific invoice?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Manual Payment Online: Post Outgoing Payment",true,"Do you manually record outgoing payments?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Payment Approval",true,"Do outgoing payments require manager approval before release?",EXCELLENT,OK,YES,YES,NONE,YES,YES,YES,CLEAR
"J60","Bank Payment Approval (Optional based on Cash Management)",true,"Do outgoing payments require manager approval before release?",EXCELLENT,OK,YES,YES,NONE,YES,YES,YES,CLEAR
"J60","Payment Media: Create Payment Media",true,"How do you generate payment files for your bank?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Payment Advices: Print or Email Payment Advice",true,"Do you send payment notifications to your suppliers?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Payment Advices: Schedule Payment Advices (Optional)",true,"Do you send payment notifications to your suppliers?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Correspondence",true,"Do you send formal correspondence to suppliers (account statements, balance confirmations)?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Incorrect Posting: Reset Cleared Items",true,"Do you sometimes need to reverse or correct payment postings?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Incorrect Posting: Reset and Reverse Cleared Items",true,"Do you need to both reset and reverse cleared items?",GOOD,OK,YES,YES,YES,YES,NO,YES,NEEDS_CONTEXT
"J60","Create Down Payment Request",true,"Does your company make advance payments to suppliers before receiving goods or services?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Create Down Payment Request with Workflow",true,"Does your company make advance payments to suppliers before receiving goods or services?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Create Supplier Down Payment Request for Approval",true,"Does your company make advance payments to suppliers before receiving goods or services?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Process Down Payment Request Approval",true,"Does your company make advance payments to suppliers before receiving goods or services?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Down Payments: Post Down Payment",true,"Does your company make advance payments to suppliers before receiving goods or services?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Down Payments: Invoice Entry",true,"Does your company make advance payments to suppliers before receiving goods or services?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Down Payments: Post Outgoing Payment",true,"Do you manually record outgoing payments?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Down Payments: Clear Open Items",true,"Does your company make advance payments to suppliers before receiving goods or services?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Optional: Interest Calculation: Optional: Schedule Interest Calculation Jobs",true,"Do you calculate interest on overdue supplier balances?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Optional: Interest Calculation: Optional: Manage Interest Runs",true,"Do you calculate interest on overdue supplier balances?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Optional: Interest Calculation: Optional: Display Interest Runs",true,"Do you calculate interest on overdue supplier balances?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Guarantees Received",true,"Do you receive bank guarantees or letters of credit from suppliers?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Periodic Activities: Check Open Balances",true,"What month-end activities do you perform for accounts payable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Periodic Activities: Create Supplier Balance Confirmation",true,"What month-end activities do you perform for accounts payable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Periodic Activities: Manage Supplier Balance Confirmations",true,"What month-end activities do you perform for accounts payable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Periodic Activities: Print Supplier Balance Confirmation",true,"What month-end activities do you perform for accounts payable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Invoice Management Reporting: Accounts Payable Overview",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Days Payable Outstanding",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Overdue Payables",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Future Payables",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Cash Discount Forecast",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Cash Discount Utilization",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Invoice Processing Analysis",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Invoice Processing Time",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Aging Analysis",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Aging Report for Accounts Payable",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Automatic and Manual Payments Analysis",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Supplier Payments Analysis",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","Invoice Management Reporting: Display Item Change Log",true,"What reports do you need for monitoring payables?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J60","eDocument Cockpit",true,"Do you process electronic invoices (e-invoicing)?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Appendix: Display Process Flow Accounts Payable",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Additional Information: Monitor Payments",true,"Does your implementation team need to configure system-level settings for accounts payable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J60","Schedule Payment Proposals",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Revise Payment Proposal",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Release Payment Proposal",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Approval by First Approver",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Rejection",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Approval by Second Approver",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Create Team",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Create Workflow",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J60","Generic Withholding Tax Report",false,"",MISSING,MISSING,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"J59","Additional Information",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: Define Accounting Clerk",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: BRF+ Settings for Customer Balance Confirmation",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: BRF+ Settings for Item Interest Calculation",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: BRF+ Settings for Dunning Notice (Optional): Download Standard Template",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: BRF+ Settings for Dunning Notice (Optional): Upload Custom Template",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: BRF+ Settings for Dunning Notice (Optional): Assign Form Template",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: BRF+ Settings for Dunning Notice (Optional): Dunning Output Determination",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: BRF+ Settings for FI Customer Invoice",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: Manage Situation Types (Optional)",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: Business Partner Master Data Maintenance for Electronic Invoicing (Optional)",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: Value Mapping for Electronic Invoicing (Optional)",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: Preliminary Steps for Electronic Invoicing",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: Add Fields to Items (Optional)",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps: Assign Reason Codes For Write-Off",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps for eDocument Process: Maintain Business Partner Master Data",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Preliminary Steps for eDocument Process: Maintain Company Code Data",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Business Partner Master Data Maintenance for Electronic Invoicing (Optional)",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Value Mapping Maintenance for Electronic Invoicing (Optional)",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Test Procedures",true,"Does your team need to validate the accounts receivable process through testing?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Preparation of Payments: Maintain Business Partners",true,"How do you manage your customer records?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Preparation of Payments: Display Customer List",true,"Do you need a centralized view of all your customers?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Enter Invoice Without Sales Order",true,"Do you create customer invoices that are not linked to a sales order?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Mass Upload: Mass Import of Customer Invoices",true,"Do you need to upload large batches of customer invoices?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Invoice Reporting",true,"Do you need reports on customer invoicing activity?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Create Dunning Notices",true,"Do you send payment reminders to customers who haven't paid on time?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Manage My Dunning Proposals",true,"Do you send payment reminders to customers who haven't paid on time?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Display Dunning History",true,"Do you send payment reminders to customers who haven't paid on time?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Open Correspondence",true,"Do you send formal correspondence to customers (statements, confirmations)?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Display Correspondence History",true,"Do you send formal correspondence to customers (statements, confirmations)?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Accounts Receivable Overview",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Monitor Overdue Receivables",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Monitor Overdue Receivables by Risk Class",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Future Receivables",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Total Receivables",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Days Sales Outstanding",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Dunning Level Distribution",true,"Do you send payment reminders to customers who haven't paid on time?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Invoice Management Reporting: Days Beyond Terms",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Display Item Change Log",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Invoice Management Reporting: Cash Collection Tracker",true,"What reports do you need for monitoring receivables?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Down Payments: Create Down Payment Request",true,"Does your company receive advance payments from customers before delivering goods or services?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Down Payments: Display Down Payment Request",true,"Does your company receive advance payments from customers before delivering goods or services?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Down Payments: Post Down Payment",true,"Does your company receive advance payments from customers before delivering goods or services?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Down Payments: Enter Invoice Without Sales Order",true,"Do you create customer invoices that are not linked to a sales order?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Down Payments: Post Incoming Payments",true,"Does your company receive advance payments from customers before delivering goods or services?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Down Payments: Clear Open Items Manually",true,"Does your company receive advance payments from customers before delivering goods or services?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Daily Cash Operations – Bank Statement",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Cash Application Intelligence Integration",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Reprocess Bank Statement Items",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Manage Bank Statement Processing Rules (Optional)",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Obtain Payment Advices Manually (Optional)",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Manage Payment Advice",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Clear Open Items Manually",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment with Electronic Bank Statement: Clear Credit/Debit Memos Manually",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incoming Payment without Electronic Bank Statement: Post Incoming Payments",true,"Do you receive electronic bank statements for matching incoming payments?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Incorrect Posting: Reset Cleared Items",true,"Do you sometimes need to reverse or correct payment postings?",GOOD,OK,YES,YES,YES,YES,NO,YES,NEEDS_CONTEXT
"J59","Incorrect Posting: Reset and Reverse Cleared Items",true,"Do you sometimes need to reverse or correct payment postings?",GOOD,OK,YES,YES,YES,YES,NO,YES,NEEDS_CONTEXT
"J59","Incorrect Posting: Reverse Individual Documents",true,"Do you sometimes need to reverse or correct payment postings?",GOOD,OK,YES,YES,YES,YES,NO,YES,NEEDS_CONTEXT
"J59","Invoice Collection Preparation: Manage Customer Line Items",true,"How does your AR team review open customer items?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Interest Calculation: Schedule Interest Calculation Jobs",true,"Do you calculate interest on overdue customer balances?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Interest Calculation: Manage Interest Runs",true,"Do you calculate interest on overdue customer balances?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Interest Calculation: Display Interest Runs",true,"Do you calculate interest on overdue customer balances?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Guarantees Made: Guarantees Made",true,"Do you issue bank guarantees or letters of credit for customers?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","Guarantees Made: Reverse Guarantees",true,"Do you need to reverse individual financial documents?",GOOD,OK,YES,YES,YES,YES,NO,YES,NEEDS_CONTEXT
"J59","Periodic Activities: Check Open Balances",true,"What month-end activities do you perform for accounts receivable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Periodic Activities: Create Balance Confirmation",true,"What month-end activities do you perform for accounts receivable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Periodic Activities: Manage Balance Confirmations",true,"What month-end activities do you perform for accounts receivable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Periodic Activities: Print Customer Balance Confirmation",true,"What month-end activities do you perform for accounts receivable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Periodic Activities: Bad Debt Write-Off",true,"What month-end activities do you perform for accounts receivable?",EXCELLENT,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Malaysia eInvoice: One-Time Customer (Optional)",true,"Do you process electronic invoices for customers?",GOOD,OK,YES,YES,YES,YES,YES,YES,CLEAR
"J59","eDocument Cockpit",true,"Do you need to monitor electronic document processing?",GOOD,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J59","Additional Information: Appendix: Display Process Flow Accounts Receivable",true,"Does your implementation team need to configure system-level settings for accounts receivable?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J45","Additional Information",true,"Does your implementation team need to configure procurement system settings?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J45","Additional Information: Preliminary Steps: Create Purchasing Info Record (Optional)",true,"Does your implementation team need to configure procurement system settings?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J45","Additional Information: Preliminary Steps: Create Purchase Requisition",true,"Does your implementation team need to configure procurement system settings?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
"J45","Additional Information: Preliminary Steps: Check Flexible Workflow for Purchase Order Approval",true,"Does your implementation team need to configure procurement system settings?",GENERIC,OK,YES,YES,YES,YES,YES,YES,NEEDS_CONTEXT
