# provenance
# target	companion to target 2 — Philippine WITHHOLDING tax codes and their published rates
# why_this_file	the brief's rule "do not normalise across countries — if SAP's PH source has a column the MY one lacks, keep it and name it". SAP publishes Philippine withholding tax codes WITH a rate column, which the VAT tax-code table does not have. Discarding them at harvest time would lose them.
# source_urls	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
# source_title	SAP S/4HANA Cloud Public Edition 2608 > Philippines > "Withholding Tax Codes" (2 tables)
# access_method	anonymous read of help.sap.com's published content service. No login, no scraping.
# date_read	2026-09-07
# release	2608
# completeness	complete for these tables: 53 rows across 2 published tables. Floor overall — withholding tax TYPES and the type-to-code assignment are published on other topics of the same deliverable and are not in this file.
# column_source	withholding_tax_code · description · tax_rate_percent="Tax Rate (%)" · official_withholding_tax_key, all verbatim. source_topic and source_url name the exact page each row came from, because the two tables sit on different topics.
# not_claimed	these are SAP's predelivered Best Practices values for release 2608, not tax advice and not a client's configuration.
country	withholding_tax_code	description	tax_rate_percent	official_withholding_tax_key	source_topic	source_url
PH	21	Prime contractors/subcontractors (individuals)	1	I120	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	22	Income distribution to beneficiaries of estates and trusts	15	I130	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	23	Amounts paid to customs, real estates, insurance and commercial brokers and agents of professional entertainers (individuals)	5	I140	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	24	Payments to medical practitioners through hospitals/clinics	10	I151	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	25	Payments to partners in general professional partnership	10	I152	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	26	Payments made by credit card companies to individuals	0.5	I156	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	27	Payments made by government offices on their local purchase of goods from juridical persons (individuals)	1	I157	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	28	Payments made by top 5000 corporations to their local suppliers of goods (individuals)	1	I158	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	29	Additional payments to government personnel from importers, shipping and airline companies or their agents (for overtime services)	15	I159	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	1	Interest on foreign loans payable to non-resident foreign corporations (NRFCs)	20	C180	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	2	Interest and other income payments on foreign currency transactions/loans payable to offshore banking units (OBUs)/foreign currency deposit units (FCDUs)	10	C190	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	3	Cash dividend payments by domestic corporations to citizens and resident aliens	10	I202	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	4	Property dividend payments by domestic corporations to citizens and resident aliens	10	I203	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	5	Cash dividend payments by domestic corporations to NRFCs	32	C212	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	6	Property dividend payments by domestic corporations to NRFCs	32	C213	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	7	Cash dividend payments by domestic corporations to NRFCs whose countries allowed tax deemed paid credit (subject to tax sparing rule)	15	C222	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	8	Property dividend payments by domestic corporations to NRFCs whose countries allowed tax deemed paid credit (subject to tax sparing rule)	15	C223	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	9	Cash dividend payments by domestic corporations to non-resident aliens engaged in trade or business within the Philippines (NRAETBs)	20	I224	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	10	Property dividend payments by domestic corporations to NRAETBs	20	I225	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	11	Share to NRAETB in the distributable net income after tax of a partnership (except GPP), an association, a joint account/venture taxable as a corporation of which he is a partner/member/co-venturer	20	I226	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	12	On other payments to NRFCs	32	C230	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	13	Distributive share of individual partners in a taxable partnership, etc.	10	I240	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	14	Other royalty payments to citizens, resident aliens and NRAETBs (other than I380 and I341)	20	I250	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	15	All kinds of royalty payments to domestic and resident foreign corporations	20	C250	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	16	On prizes exceeding P10,000 and other winnings paid to individuals	20	I260	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	17	Branch profit remittances by all corporations except PEZA/SBMA/CDA registered	15	C280	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	18	On gross rentals/lease/charter fees payable to non-resident lessors of foreign vessels	4.5	C290	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	19	On gross rentals/charter and other fees payable to non-resident lessors of aircraft, machinery and other equipment	7.5	C300	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	20	On payments to alien individuals engaged by OBUs, foreign petroleum service contractors & subcontractors, and by regional or area headquarters and regional operating headquarters of multinational companies, including any of its Filipino employees occupying the same position	15	I320	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	21	On payments to non-resident aliens not engaged in trade or business (NRANETBs)	25	I330	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	22	On payments to non-resident foreign corporate cinematographic film owners, lessors or distributors	25	C340	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	23	On payments to NRAETBs for cinematographic films and similar works	25	I341	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
PH	24	On royalties paid to citizens, resident aliens and NRAETBs on books, other literary works and musical composition	10	I380	Withholding Tax Codes	https://help.sap.com/docs/SAP_S4HANA_CLOUD/88520ff2932b479090ed3b7b116b2e91/b9db60a47e8d40cc80f1fa1df4862d86.html?version=2608.500
